,0
3MINDIA,3418.315
ABB,127743.865
ACC,884522.685
AIAENG,32778.715
APLAPOLLO,55490.52
AUBANK,477995.37
AARTIIND,333935.055
AAVAS,62988.305
ABBOTINDIA,9778.745
ADANIGAS,1830698.065
ADANIGREEN,965654.43
ADANIPORTS,3229916.405
ADANIPOWER,5988151.82
ADANITRANS,534553.77
ABCAPITAL,2480265.04
ABFRL,1949113.645
ADVENZYMES,422828.645
AEGISCHEM,211596.885
AFFLE,42608.56
AJANTPHARM,141445.335
AKZOINDIA,9572.595
APLLTD,361664.95
ALKEM,138970.645
ALKYLAMINE,38366.515
ALLCARGO,220700.255
AMARAJABAT,806621.715
AMBER,154043.84
AMBUJACEM,3790014.14
APOLLOHOSP,808643.235
APOLLOTYRE,6061922.625
ARVINDFASN,159835.72
ASAHIINDIA,33764.235
ASHOKLEY,32411603.26
ASHOKA,1055295.48
ASIANPAINT,1841525.575
ASTERDM,227172.075
ASTRAZEN,56138.825
ASTRAL,108466.66
ATUL,30186.5
AUROPHARMA,3290986.01
AVANTIFEED,486946.755
DMART,428458.17
AXISBANK,22899596.475
BASF,55423.055
BEML,446856.12
BSE,242132.945
BAJAJ-AUTO,677178.49
BAJAJCON,637375.99
BAJAJELEC,249178.95
BAJFINANCE,6156441.085
BAJAJFINSV,666343.935
BAJAJHLDNG,38606.045
BALKRISIND,558586.37
BALMLAWRIE,212762.1
BALRAMCHIN,1096329.535
BANDHANBNK,10608430.47
BANKBARODA,24445677.05
BANKINDIA,2838588.54
MAHABANK,2084610.655
BATAINDIA,718381.425
BAYERCROP,22987.36
BERGEPAINT,1108091.775
BDL,658338.47
BEL,10027757.695
BHARATFORG,2344608.86
BHEL,39983677.84
BPCL,7068985.51
BHARATRAS,4492.97
BHARTIARTL,16199283.36
INFRATEL,8029486.65
BIOCON,4495838.515
BIRLACORPN,247677.7
BSOFT,1571055.09
BLISSGVS,367846.97
BLUEDART,30838.2
BLUESTARCO,93590.135
BOMDYEING,1407425.1
BOSCHLTD,40124.575
BRIGADE,235565.295
BRITANNIA,601488.4
CARERATING,114699.525
CCL,159613.765
CESC,299150.465
CRISIL,25032.47
CSBBANK,187795.29
CADILAHC,3572736.615
CANFINHOME,411199.675
CANBK,8607920.98
CAPLIPOINT,333517.91
CGCL,117356.335
CARBORUNIV,180845.5
CASTROLIND,863721.08
CEATLTD,151906.795
CENTRALBK,1619318.955
CDSL,890609.38
CENTURYPLY,398586.68
CENTURYTEX,1160397.735
CERA,4531.255
CHAMBLFERT,815993.235
CHENNPETRO,901751.965
CHOLAHLDNG,51596.215
CHOLAFIN,7920580.66
CIPLA,5744369.83
CUB,1648027.955
COALINDIA,7971821.77
COCHINSHIP,337846.23
COFORGE,537781.04
COLPAL,638451.81
CONCOR,1649494.005
COROMANDEL,381671.775
CREDITACC,88307.075
CROMPTON,672728.245
CUMMINSIND,1012855.72
CYIENT,635391.665
DBCORP,188316.44
DCBBANK,1990892.98
DCMSHRIRAM,92432.675
DLF,8269725.38
DABUR,2465284.305
DALBHARAT,158456.115
DEEPAKNTR,950447.405
DELTACORP,1250372.625
DHANUKA,86608.155
DBL,244729.27
DISHTV,4753381.765
DCAL,418018.32
DIVISLAB,816208.77
DIXON,47976.385
LALPATHLAB,118014.165
DRREDDY,1225421.355
EIDPARRY,422981.245
EIHOTEL,746956.52
ESABINDIA,5117.79
EDELWEISS,1320928.295
EICHERMOT,558793.88
ELGIEQUIP,75619.475
EMAMILTD,663410.645
ENDURANCE,98441.855
ENGINERSIN,1808017.25
EQUITAS,8727220.095
ERIS,114743.74
ESCORTS,1865158.665
EXIDEIND,2521397.91
FDC,367494.345
FEDERALBNK,25471869.63
FINEORG,34077.95
FINCABLES,101854.84
FINPIPE,42474.125
FSL,2521267.83
FORTIS,1246609.28
FCONSUMER,9466216.15
FRETAIL,4237186.43
GAIL,10254252.445
GEPIL,87641.73
GET&D,103150.87
GHCL,186604.73
GMMPFAUDLR,46897.97
GMRINFRA,10757752.155
GALAXYSURF,19433.65
GRSE,254307.185
GARFIBRES,14260.01
GICRE,240126.04
GILLETTE,9820.96
GLAXO,53640.345
GLENMARK,4029497.445
GODFRYPHLP,53503.425
GODREJAGRO,150855.465
GODREJCP,1141153.6
GODREJIND,171014.04
GODREJPROP,633462.27
GRANULES,2641237.405
GRAPHITE,453488.79
GRASIM,1937536.165
GESHIP,206879.7
GREAVESCOT,430001.305
GRINDWELL,19994.815
GUJALKALI,107141.015
FLUOROCHEM,45912.88
GUJGASLTD,568968.885
GMDCLTD,967204.34
GNFC,934474.115
GPPL,364414.265
GSFC,827815.645
GSPL,583682.73
GULFOILLUB,23397.12
HEG,274920.52
HCLTECH,5446380.19
HDFCAMC,265129.27
HDFCBANK,10705229.145
HDFCLIFE,2886383.82
HFCL,3084274.53
HATSUN,29004.21
HAVELLS,1630610.78
HEIDELBERG,391474.235
HERITGFOOD,55050.26
HEROMOTOCO,1256069.075
HEXAWARE,740506.405
HSCL,1145826.46
HIMATSEIDE,477763.895
HINDALCO,11962781.695
HAL,527857.32
HINDCOPPER,876963.145
HINDPETRO,5541231.39
HINDUNILVR,3139594.86
HINDZINC,1096297.565
HONAUT,3219.11
HUDCO,1472476.285
HDFC,3905070.59
ICICIBANK,27918965.335
ICICIGI,495680.4
ICICIPRULI,1817167.725
ISEC,422711.74
ICRA,1993.36
IDBI,2500304.2
IDFCFIRSTB,28947112.73
IDFC,6431686.005
IFBIND,87079.335
IFCI,2338558.075
IIFL,585631.155
IIFLWAM,20980.18
IRCON,785640.39
ITC,19575154.71
ITI,1471174.11
INDIACEM,1940143.82
ITDC,41492.08
IBULHSGFIN,17146965.825
IBREALEST,1586371.44
INDIAMART,112937.615
INDIANB,1798351.95
IEX,728855.11
INDHOTEL,2324638.595
IOC,14346605.84
IOB,2842058.71
IRCTC,547890.3
INDOSTAR,79356.455
INDOCO,131465.98
IGL,2634609.03
INDUSINDBK,16919639.345
INFIBEAM,794581.32
NAUKRI,342660.72
INFY,8003151.33
INGERRAND,15189.68
INOXLEISUR,568950.845
INTELLECT,169694.35
INDIGO,1912686.23
IPCALAB,257882.6
JBCHEPHARM,270039.38
JKCEMENT,62440.18
JKLAKSHMI,257665.415
JKPAPER,904917.465
JKTYRE,877184.74
JMFINANCIL,1057705.66
JSWENERGY,1804775.8
JSWSTEEL,7321397.08
JAGRAN,356471.645
JAICORPLTD,1432714.68
J&KBANK,2036506.175
JAMNAAUTO,1250822.18
JINDALSAW,975450.14
JSLHISAR,322455.385
JSL,322455.385
JINDALSTEL,11173840.685
JCHAC,8622.91
JUBLFOOD,771490.895
JUBILANT,394748.065
JUSTDIAL,1975254.775
JYOTHYLAB,439774.0
KPRMILL,31776.925
KEI,176216.085
KNRCON,160754.015
KPITTECH,543016.205
KRBL,269330.055
KSB,23732.105
KAJARIACER,316974.26
KALPATPOWR,331350.635
KANSAINER,188057.11
KTKBANK,1804959.545
KARURVYSYA,1637206.28
KSCL,209368.97
KEC,326216.27
KOLTEPATIL,96837.56
KOTAKBANK,3716487.695
L&TFH,11299638.05
LTTS,117737.59
LICHSGFIN,4093561.43
LAOPALA,119974.57
LAXMIMACH,6945.15
LTI,173850.4
LT,3693568.665
LAURUSLABS,1859169.555
LEMONTREE,1888495.905
LINDEINDIA,72029.215
LUPIN,2704088.125
LUXIND,51904.18
MASFIN,17501.575
MMTC,993306.505
MOIL,327279.185
MRF,11044.68
MGL,684976.62
MAHSCOOTER,9847.115
MAHSEAMLES,82906.78
M&M,4641193.61
MAHINDCIE,169990.22
MHRIL,54592.905
MAHLOG,61964.025
MANAPPURAM,6944611.995
MRPL,1054187.055
MARICO,2290258.56
MARUTI,985210.24
MFSL,1104310.69
METROPOLIS,86700.94
MINDTREE,973831.96
MINDACORP,666016.96
MINDAIND,219997.15
MIDHANI,693317.09
MOTHERSUMI,12917851.28
MOTILALOFS,84882.5
MPHASIS,290040.48
MCX,255319.845
MUTHOOTFIN,1947679.8
NATCOPHARM,377025.635
NBCC,6872825.885
NCC,12315904.68
NESCO,87577.055
NHPC,3663098.995
NLCINDIA,531527.405
NMDC,5226593.795
NTPC,16666284.48
NH,140023.955
NATIONALUM,9993431.79
NFL,1248248.27
NBVENTURES,361436.96
NAVINFLUOR,108443.075
NESTLEIND,101719.795
NILKAMAL,13270.225
NAM-INDIA,855036.975
OBEROIRLTY,335313.22
ONGC,14318083.17
OIL,908622.19
OMAXE,346811.01
OFSS,50379.24
ORIENTCEM,527099.695
ORIENTELEC,273291.53
ORIENTREF,48066.605
PIIND,190513.505
PNBHOUSING,493424.95
PNCINFRA,161101.84
PTC,1498875.23
PAGEIND,33605.97
PERSISTENT,138162.815
PETRONET,2648645.985
PFIZER,48372.545
PHILIPCARB,1128500.36
PHOENIXLTD,182728.64
PIDILITIND,656109.93
PEL,1311185.755
POLYMED,146690.365
POLYCAB,206169.21
PFC,5414939.315
POWERGRID,7476083.71
PRAJIND,1147556.645
PRESTIGE,556016.865
PRSMJOHNSN,237783.955
PGHL,14407.55
PGHH,4743.005
PNB,24410729.52
QUESS,194129.895
RBLBANK,21910486.83
RECLTD,5661463.385
RITES,431476.37
RADICO,416882.36
RVNL,3468822.89
RAIN,1283290.59
RAJESHEXPO,89868.41
RALLIS,665281.75
RCF,1558857.435
RATNAMANI,12342.005
RAYMOND,613786.285
REDINGTON,709820.215
RELAXO,191528.17
RELIANCE,14369213.27
REPCOHOME,319110.66
SBICARD,1628599.515
SBILIFE,1112996.795
SJVN,1025779.235
SKFINDIA,34428.345
SRF,200933.42
SADBHAV,359654.015
SANOFI,18498.0
SCHAEFFLER,8749.295
SCHNEIDER,170004.745
SIS,64392.33
SEQUENT,1073736.11
SFL,17051.385
SCI,1558926.48
SHOPERSTOP,170834.865
SHREECEM,45349.035
RENUKA,1033819.88
SHRIRAMCIT,43846.4
SRTRANSFIN,3739383.985
SIEMENS,489083.355
SOBHA,274204.355
SOLARINDS,24239.91
SONATSOFTW,344310.36
SOUTHBANK,10753103.475
SPANDANA,33679.075
SPICEJET,2557911.085
STARCEMENT,143149.145
SBIN,44411706.23
SAIL,21960926.675
SWSOLAR,262298.025
STAR,975006.335
SUDARSCHEM,192741.94
SUMICHEM,431462.545
SPARC,752656.11
SUNPHARMA,7512323.21
SUNTV,1815472.795
SUNDARMFIN,47534.785
SUNDRMFAST,68693.045
SUNTECK,429893.23
SUPRAJIT,208224.845
SUPREMEIND,49440.885
SUZLON,11643385.775
SWANENERGY,101898.44
SYMPHONY,39515.76
SYNGENE,530279.095
TCIEXP,25532.995
TCNSBRANDS,28543.04
TTKPRESTIG,5417.44
TVTODAY,54536.74
TV18BRDCST,4714638.37
TVSMOTOR,2223657.58
TAKE,381544.44
TASTYBITE,1142.705
TATACOMM,102692.485
TCS,2992442.65
TATACONSUM,3485069.645
TATAELXSI,430492.485
TATAINVEST,19478.375
TATAMTRDVR,4886414.905
TATAMOTORS,48906641.98
TATAPOWER,21681245.965
TATASTLBSL,1729943.045
TATASTEEL,10682578.455
TEAMLEASE,20065.935
TECHM,3872237.82
NIACL,333826.905
RAMCOCEM,625221.355
THERMAX,54329.09
THYROCARE,190039.48
TIMETECHNO,382383.7
TIMKEN,35017.405
TITAN,2504525.895
TORNTPHARM,541855.585
TORNTPOWER,928057.12
TRENT,420423.035
TRIDENT,7115610.855
TIINDIA,100365.785
UCOBANK,2028316.4
UFLEX,174904.37
UPL,4466460.34
UJJIVAN,2855480.78
UJJIVANSFB,1130195.605
ULTRACEMCO,431504.38
UNIONBANK,3103916.045
UBL,541134.21
MCDOWELL-N,2304958.28
VGUARD,401826.47
VMART,17355.245
VIPIND,526567.56
VRLLOG,125490.115
VSTIND,10598.87
VAIBHAVGBL,17218.085
VAKRANGEE,1469553.3
VTL,18468.835
VARROC,237868.065
VBL,206808.96
VENKEYS,115316.32
VESUVIUS,3414.57
VINATIORGA,112398.06
IDEA,351561680.205
VOLTAS,1801328.98
WABCOINDIA,5996.605
WELCORP,851751.79
WELSPUNIND,879613.655
WESTLIFE,180730.195
WHIRLPOOL,40322.03
WIPRO,10509451.695
WOCKPHARMA,530954.21
ZEEL,22426260.12
ZENSARTECH,226168.11
ZYDUSWELL,37518.545
ECLERX,119457.37
