,0
3MINDIA,11186
ABB,251858
ACC,6433390
AIAENG,84306
APLAPOLLO,230662
AUBANK,1781360
AARTIIND,554495
AAVAS,300870
ABBOTINDIA,18997
ADANIGAS,7919096
ADANIGREEN,2583066
ADANIPORTS,17940352
ADANIPOWER,22800047
ADANITRANS,886645
ABCAPITAL,14057760
ABFRL,59258955
ADVENZYMES,526572
AEGISCHEM,348373
AFFLE,142530
AJANTPHARM,674857
AKZOINDIA,51477
APLLTD,891483
ALKEM,267458
ALKYLAMINE,98932
ALLCARGO,397848
AMARAJABAT,2228948
AMBER,893570
AMBUJACEM,20195023
APOLLOHOSP,1528660
APOLLOTYRE,20076196
ARVINDFASN,543322
ASAHIINDIA,269183
ASHOKLEY,88540480
ASHOKA,472590
ASIANPAINT,4964904
ASTERDM,506543
ASTRAZEN,201071
ASTRAL,107091
ATUL,81795
AUROPHARMA,12465607
AVANTIFEED,445558
DMART,1555361
AXISBANK,50934761
BASF,532697
BEML,651133
BSE,584792
BAJAJ-AUTO,2140237
BAJAJCON,786031
BAJAJELEC,946693
BAJFINANCE,7536460
BAJAJFINSV,1559339
BAJAJHLDNG,155124
BALKRISIND,1180602
BALMLAWRIE,490309
BALRAMCHIN,3171593
BANDHANBNK,14730628
BANKBARODA,61695399
BANKINDIA,7153117
MAHABANK,1682949
BATAINDIA,1654945
BAYERCROP,41289
BERGEPAINT,5184585
BDL,562055
BEL,9650774
BHARATFORG,6277026
BHEL,42148409
BPCL,17057233
BHARATRAS,5347
BHARTIARTL,123585653
INFRATEL,19305105
BIOCON,9674843
BIRLACORPN,983829
BSOFT,1251182
BLISSGVS,735941
BLUEDART,481444
BLUESTARCO,167744
BOMDYEING,3447379
BOSCHLTD,103282
BRIGADE,1347024
BRITANNIA,3538724
CARERATING,4181973
CCL,607343
CESC,640788
CRISIL,197371
CSBBANK,865857
CADILAHC,30218448
CANFINHOME,577939
CANBK,12655457
CAPLIPOINT,322735
CGCL,262293
CARBORUNIV,2215068
CASTROLIND,10743139
CEATLTD,1858572
CENTRALBK,9195928
CDSL,2418221
CENTURYPLY,926896
CENTURYTEX,1006846
CERA,104252
CHAMBLFERT,1949830
CHENNPETRO,15497025
CHOLAHLDNG,213526
CHOLAFIN,24234206
CIPLA,9035451
CUB,3287269
COALINDIA,20421826
COCHINSHIP,2137798
COFORGE,6184703
COLPAL,2426078
CONCOR,13573170
COROMANDEL,898093
CREDITACC,190964
CROMPTON,7411446
CUMMINSIND,1320652
CYIENT,1448763
DBCORP,478681
DCBBANK,2571845
DCMSHRIRAM,228225
DLF,29960943
DABUR,9690523
DALBHARAT,1391401
DEEPAKNTR,1362216
DELTACORP,8763775
DHANUKA,164114
DBL,398602
DISHTV,8208530
DCAL,774768
DIVISLAB,1602701
DIXON,159051
LALPATHLAB,407351
DRREDDY,4918148
EIDPARRY,1129478
EIHOTEL,1487367
ESABINDIA,20361
EDELWEISS,5171640
EICHERMOT,1939408
ELGIEQUIP,194473
EMAMILTD,1451005
ENDURANCE,199132
ENGINERSIN,3614786
EQUITAS,9605086
ERIS,299215
ESCORTS,3692700
EXIDEIND,4610251
FDC,207096
FEDERALBNK,54765746
FINEORG,120813
FINCABLES,314054
FINPIPE,659257
FSL,5154295
FORTIS,8196819
FCONSUMER,10251315
FRETAIL,5525954
GAIL,19366327
GEPIL,2572844
GET&D,59799
GHCL,1653709
GMMPFAUDLR,125984
GMRINFRA,20024268
GALAXYSURF,73376
GRSE,224800
GARFIBRES,122263
GICRE,269496
GILLETTE,5830
GLAXO,127770
GLENMARK,5118375
GODFRYPHLP,70628
GODREJAGRO,256594
GODREJCP,2705596
GODREJIND,298466
GODREJPROP,8420049
GRANULES,6392865
GRAPHITE,1189947
GRASIM,2973275
GESHIP,518616
GREAVESCOT,1120511
GRINDWELL,120536
GUJALKALI,151321
FLUOROCHEM,94048
GUJGASLTD,1907077
GMDCLTD,1017793
GNFC,704327
GPPL,378391
GSFC,3768840
GSPL,1070180
GULFOILLUB,130162
HEG,423519
HCLTECH,21564064
HDFCAMC,331594
HDFCBANK,17852862
HDFCLIFE,21453700
HFCL,6242970
HATSUN,74341
HAVELLS,12035236
HEIDELBERG,1240348
HERITGFOOD,268716
HEROMOTOCO,5321204
HEXAWARE,919171
HSCL,1664173
HIMATSEIDE,1808882
HINDALCO,24286914
HAL,1279904
HINDCOPPER,6413155
HINDPETRO,48028970
HINDUNILVR,5855301
HINDZINC,8286204
HONAUT,13217
HUDCO,1778014
HDFC,8905106
ICICIBANK,72698777
ICICIGI,992164
ICICIPRULI,3725793
ISEC,1406991
ICRA,7600
IDBI,7254966
IDFCFIRSTB,30651843
IDFC,5461740
IFBIND,458817
IFCI,5683849
IIFL,2689573
IIFLWAM,115926
IRCON,4281100
ITC,45885935
ITI,2836083
INDIACEM,4714423
ITDC,34598
IBULHSGFIN,28387775
IBREALEST,3976189
INDIAMART,96273
INDIANB,3515396
IEX,1452874
INDHOTEL,7995208
IOC,54768803
IOB,12147034
IRCTC,214182
INDOSTAR,40875
INDOCO,573635
IGL,4679062
INDUSINDBK,33533745
INFIBEAM,2142106
NAUKRI,1368453
INFY,19811809
INGERRAND,22757
INOXLEISUR,1124327
INTELLECT,621552
INDIGO,2857913
IPCALAB,2174313
JBCHEPHARM,228419
JKCEMENT,247317
JKLAKSHMI,1205232
JKPAPER,760776
JKTYRE,11463565
JMFINANCIL,6627067
JSWENERGY,7799494
JSWSTEEL,15424754
JAGRAN,493293
JAICORPLTD,1999469
J&KBANK,1724142
JAMNAAUTO,5423518
JINDALSAW,602243
JSLHISAR,1491345
JSL,1491345
JINDALSTEL,23104911
JCHAC,26433
JUBLFOOD,802568
JUBILANT,738849
JUSTDIAL,14998459
JYOTHYLAB,1624632
KPRMILL,564166
KEI,340477
KNRCON,178464
KPITTECH,1417852
KRBL,441404
KSB,725189
KAJARIACER,2042415
KALPATPOWR,951304
KANSAINER,621514
KTKBANK,1852052
KARURVYSYA,2658252
KSCL,630027
KEC,1554479
KOLTEPATIL,476245
KOTAKBANK,33167143
L&TFH,24953733
LTTS,469825
LICHSGFIN,7982431
LAOPALA,110123
LAXMIMACH,26864
LTI,968678
LT,13188768
LAURUSLABS,12111836
LEMONTREE,1401683
LINDEINDIA,639653
LUPIN,5867246
LUXIND,101291
MASFIN,32355
MMTC,1352483
MOIL,454775
MRF,88721
MGL,1053638
MAHSCOOTER,14681
MAHSEAMLES,170249
M&M,6811118
MAHINDCIE,212259
MHRIL,224752
MAHLOG,189283
MANAPPURAM,17412499
MRPL,12494191
MARICO,10855977
MARUTI,1758999
MFSL,2465081
METROPOLIS,140023
MINDTREE,3483103
MINDACORP,1103406
MINDAIND,199695
MIDHANI,1190227
MOTHERSUMI,23268863
MOTILALOFS,314747
MPHASIS,759788
MCX,1107034
MUTHOOTFIN,5076752
NATCOPHARM,492226
NBCC,6914756
NCC,16202978
NESCO,136419
NHPC,9555778
NLCINDIA,2629629
NMDC,14321085
NTPC,118128168
NH,533179
NATIONALUM,20261339
NFL,2952998
NBVENTURES,565313
NAVINFLUOR,668372
NESTLEIND,493572
NILKAMAL,44044
NAM-INDIA,779183
OBEROIRLTY,3651013
ONGC,29901827
OIL,4749732
OMAXE,150035
OFSS,223349
ORIENTCEM,2550845
ORIENTELEC,2216260
ORIENTREF,323222
PIIND,532989
PNBHOUSING,502990
PNCINFRA,642607
PTC,2351852
PAGEIND,74280
PERSISTENT,307540
PETRONET,10873206
PFIZER,62915
PHILIPCARB,2860826
PHOENIXLTD,180723
PIDILITIND,4759520
PEL,2352541
POLYMED,255517
POLYCAB,3608356
PFC,8381844
POWERGRID,21969260
PRAJIND,3552006
PRESTIGE,1073745
PRSMJOHNSN,1176173
PGHL,37203
PGHH,22504
PNB,72403902
QUESS,228234
RBLBANK,39882217
RECLTD,12275575
RITES,268247
RADICO,820070
RVNL,3803903
RAIN,2031467
RAJESHEXPO,182603
RALLIS,1479695
RCF,2766809
RATNAMANI,31739
RAYMOND,1083814
REDINGTON,950863
RELAXO,406782
RELIANCE,45857806
REPCOHOME,1758793
SBICARD,11939340
SBILIFE,2638356
SJVN,5687248
SKFINDIA,106442
SRF,1465504
SADBHAV,792877
SANOFI,36689
SCHAEFFLER,30803
SCHNEIDER,165208
SIS,1064892
SEQUENT,2080324
SFL,63761
SCI,2947496
SHOPERSTOP,145457
SHREECEM,239232
RENUKA,1828612
SHRIRAMCIT,135098
SRTRANSFIN,11754743
SIEMENS,924562
SOBHA,2541453
SOLARINDS,229762
SONATSOFTW,1284295
SOUTHBANK,6342428
SPANDANA,303643
SPICEJET,18941440
STARCEMENT,3519713
SBIN,138023646
SAIL,85133089
SWSOLAR,442390
STAR,2741466
SUDARSCHEM,369161
SUMICHEM,1092717
SPARC,954375
SUNPHARMA,48182254
SUNTV,5090461
SUNDARMFIN,292790
SUNDRMFAST,214022
SUNTECK,594817
SUPRAJIT,519742
SUPREMEIND,176202
SUZLON,51853173
SWANENERGY,214747
SYMPHONY,90328
SYNGENE,1771822
TCIEXP,47315
TCNSBRANDS,90238
TTKPRESTIG,22509
TVTODAY,130808
TV18BRDCST,5964915
TVSMOTOR,22255254
TAKE,289933
TASTYBITE,1316
TATACOMM,340635
TCS,5262311
TATACONSUM,10455347
TATAELXSI,1654905
TATAINVEST,25347
TATAMTRDVR,12605043
TATAMOTORS,152361862
TATAPOWER,22517409
TATASTLBSL,5285170
TATASTEEL,28588850
TEAMLEASE,34324
TECHM,9770664
NIACL,202538
RAMCOCEM,2217705
THERMAX,410974
THYROCARE,1320243
TIMETECHNO,575539
TIMKEN,235854
TITAN,5274145
TORNTPHARM,1422120
TORNTPOWER,4143707
TRENT,2609870
TRIDENT,13223385
TIINDIA,602502
UCOBANK,9327763
UFLEX,314991
UPL,19363947
UJJIVAN,738741
UJJIVANSFB,1904639
ULTRACEMCO,2032618
UNIONBANK,4706645
UBL,1513097
MCDOWELL-N,7942523
VGUARD,1867835
VMART,73630
VIPIND,602769
VRLLOG,303927
VSTIND,28800
VAIBHAVGBL,77347
VAKRANGEE,4316003
VTL,64080
VARROC,159621
VBL,2190861
VENKEYS,611790
VESUVIUS,106409
VINATIORGA,342271
IDEA,417589466
VOLTAS,7249946
WABCOINDIA,19756
WELCORP,3834813
WELSPUNIND,2380776
WESTLIFE,290116
WHIRLPOOL,173758
WIPRO,16996774
WOCKPHARMA,1461205
ZEEL,36088539
ZENSARTECH,336617
ZYDUSWELL,159679
ECLERX,296117
